osm_id,repr_road,lon,lat
53356885,53356885,18.583418,4.364303
182975282,182975282,14.547148,5.894428
191810565,191810565,18.541655,4.401756
192309009,192309009,17.913734,5.01468
200237654,200237654,20.665192,5.7617908
202443037,202443037,20.67054,5.761774
435843047,435843047,15.485018,5.9222383
1095916698,1095916698,21.181995,4.2959046
1096936948,1096936948,14.642224,5.935661
5341671,5341671,8.796385,36.944763
5341673,5341673,8.874954,36.952587
10641392,10641392,10.179023,36.7994
11625417,11625417,10.186187,36.799812
19744221,19744221,10.181756,36.87738
22650088,22650088,10.238558,36.83596
22650117,22650117,10.236528,36.839
23793681,23793681,10.512429,36.020092
23806912,23806912,8.790549,35.169052
23806914,23806914,10.097804,35.675022
23806918,23806918,10.854521,33.867634
26148219,26148219,10.218983,36.68104
26196305,26196305,10.197839,36.648396
26210896,26210896,9.996467,36.759712
26252386,26252386,10.644378,36.40895
26252566,26252566,10.512099,36.56967
26254332,26254332,10.55897,36.4016
26289944,26289944,10.720643,35.409996
26399699,26399699,10.578109,35.713226
26411357,26411357,10.579197,35.87969
26423849,26423849,10.598255,35.841858
26428928,26428928,10.58154,35.733524
26429278,26429278,10.571706,35.721622
26431088,26431088,10.58225,35.875134
26995066,26995066,10.572449,36.404858
26995589,26995589,10.075553,35.667965
26995591,26995591,10.070935,35.66652
26995985,26995985,7.888761,33.872402
26995989,26995989,7.87691,33.87791
27015141,27015141,7.954456,34.289795
27021368,27021368,10.062097,33.840363
27021684,27021684,10.641274,34.73011
27134689,27134689,11.113407,33.502655
27138992,27138992,10.647553,33.36529
27139424,27139424,10.492148,32.777145
27140804,27140804,10.022671,33.498833
27266925,27266925,10.031118,33.258728
27375196,27375196,10.665085,36.42331
28167665,28167665,10.5368595,35.88039
28208002,28208002,11.05982,35.506416
28208022,28208022,11.050303,35.508312
28218852,28218852,11.042361,35.512375
28619698,28619698,10.658402,35.309334
28620890,28620890,10.070156,35.66632
28698860,28698860,10.754076,34.73213
28698931,28698931,10.7548,34.73319
28718250,28718250,10.7317505,34.743565
28945438,28945438,10.578308,35.682156
29154736,29154736,8.84144,35.17168
29159432,29159432,10.492043,33.35081
29274097,29274097,10.628367,32.888855
29274747,29274747,10.481391,33.081738
29289286,29289286,9.9953785,37.04316
29290346,29290346,10.004097,37.075325
29359582,29359582,10.511228,36.025192
29996006,29996006,8.965553,36.59978
29996080,29996080,9.07993,36.632957
29996541,29996541,9.199227,36.739094
29996621,29996621,9.202089,36.736683
30019104,30019104,10.065984,36.764503
30020711,30020711,11.028801,36.802837
30021794,30021794,11.007664,37.05246
30021799,30021799,11.015311,37.04375
30023772,30023772,9.539431,36.596954
31469379,31469379,8.962753,33.702602
31520148,31520148,10.058894,33.83611
31830168,31830168,8.994043,35.91679
32517752,32517752,9.988861,37.14872
32559880,32559880,9.952039,37.03269
34306029,34306029,10.116084,33.838333
34339240,34339240,8.857231,36.384766
34339579,34339579,9.363969,36.41725
36491801,36491801,8.621817,36.814228
